True,0,exercised_stock_options,22.846900557039707
True,0,total_stock_value,22.334566139036511
True,0,salary,16.9609162405566
True,0,bonus,15.491414550904373
True,0,restricted_stock,8.6100114666718319
True,0,total_payments,8.5062385749365852
True,0,rate_shared_receipt_with_poi,7.4271295774547026
True,0,loan_advances,7.3499901979875357
True,0,deferred_income,6.1946652916933136
True,0,long_term_incentive,5.6633149245911456
True,0,expenses,5.2838455291937114
False,0,exercised_stock_options,22.846900557039707
False,0,total_stock_value,22.334566139036497
False,0,salary,16.9609162405566
False,0,bonus,15.491414550904363
False,0,restricted_stock,8.6100114666718408
False,0,total_payments,8.5062385749365976
False,0,rate_shared_receipt_with_poi,7.4271295774547132
False,0,loan_advances,7.3499901979875322
False,0,deferred_income,6.194665291693318
False,0,long_term_incentive,5.6633149245911385
False,0,expenses,5.2838455291937096
True,1,exercised_stock_options,22.846900557039707
True,1,total_stock_value,22.334566139036511
True,1,salary,16.9609162405566
True,1,bonus,15.491414550904373
True,1,restricted_stock,8.6100114666718319
True,1,total_payments,8.5062385749365852
True,1,rate_shared_receipt_with_poi,7.4271295774547026
True,1,loan_advances,7.3499901979875357
True,1,deferred_income,6.1946652916933136
True,1,long_term_incentive,5.6633149245911456
True,1,expenses,5.2838455291937114
False,1,exercised_stock_options,22.846900557039707
False,1,total_stock_value,22.334566139036497
False,1,salary,16.9609162405566
False,1,bonus,15.491414550904363
False,1,restricted_stock,8.6100114666718408
False,1,total_payments,8.5062385749365976
False,1,rate_shared_receipt_with_poi,7.4271295774547132
False,1,loan_advances,7.3499901979875322
False,1,deferred_income,6.194665291693318
False,1,long_term_incentive,5.6633149245911385
False,1,expenses,5.2838455291937096
True,2,exercised_stock_options,22.846900557039707
True,2,total_stock_value,22.334566139036511
True,2,salary,16.9609162405566
True,2,bonus,15.491414550904373
True,2,restricted_stock,8.6100114666718319
True,2,total_payments,8.5062385749365852
True,2,rate_shared_receipt_with_poi,7.4271295774547026
True,2,loan_advances,7.3499901979875357
True,2,deferred_income,6.1946652916933136
True,2,long_term_incentive,5.6633149245911456
True,2,expenses,5.2838455291937114
True,3,exercised_stock_options,22.846900557039707
True,3,total_stock_value,22.334566139036511
True,3,salary,16.9609162405566
True,3,bonus,15.491414550904373
True,3,restricted_stock,8.6100114666718319
True,3,total_payments,8.5062385749365852
True,3,rate_shared_receipt_with_poi,7.4271295774547026
True,3,loan_advances,7.3499901979875357
True,3,deferred_income,6.1946652916933136
True,3,long_term_incentive,5.6633149245911456
True,3,expenses,5.2838455291937114
False,3,exercised_stock_options,22.846900557039707
False,3,total_stock_value,22.334566139036497
False,3,salary,16.9609162405566
False,3,bonus,15.491414550904363
False,3,restricted_stock,8.6100114666718408
False,3,total_payments,8.5062385749365976
False,3,rate_shared_receipt_with_poi,7.4271295774547132
False,3,loan_advances,7.3499901979875322
False,3,deferred_income,6.194665291693318
False,3,long_term_incentive,5.6633149245911385
False,3,expenses,5.2838455291937096
True,4,exercised_stock_options,22.846900557039707
True,4,total_stock_value,22.334566139036511
True,4,salary,16.9609162405566
True,4,bonus,15.491414550904373
True,4,restricted_stock,8.6100114666718319
True,4,total_payments,8.5062385749365852
True,4,rate_shared_receipt_with_poi,7.4271295774547026
True,4,loan_advances,7.3499901979875357
True,4,deferred_income,6.1946652916933136
True,4,long_term_incentive,5.6633149245911456
True,4,expenses,5.2838455291937114
False,4,exercised_stock_options,22.846900557039707
False,4,total_stock_value,22.334566139036497
False,4,salary,16.9609162405566
False,4,bonus,15.491414550904363
False,4,restricted_stock,8.6100114666718408
False,4,total_payments,8.5062385749365976
False,4,rate_shared_receipt_with_poi,7.4271295774547132
False,4,loan_advances,7.3499901979875322
False,4,deferred_income,6.194665291693318
False,4,long_term_incentive,5.6633149245911385
False,4,expenses,5.2838455291937096
True,5,exercised_stock_options,22.846900557039707
True,5,total_stock_value,22.334566139036511
True,5,salary,16.9609162405566
True,5,bonus,15.491414550904373
True,5,restricted_stock,8.6100114666718319
True,5,total_payments,8.5062385749365852
True,5,rate_shared_receipt_with_poi,7.4271295774547026
True,5,loan_advances,7.3499901979875357
True,5,deferred_income,6.1946652916933136
True,5,long_term_incentive,5.6633149245911456
True,5,expenses,5.2838455291937114
False,5,exercised_stock_options,22.846900557039707
False,5,total_stock_value,22.334566139036497
False,5,salary,16.9609162405566
False,5,bonus,15.491414550904363
False,5,restricted_stock,8.6100114666718408
False,5,total_payments,8.5062385749365976
False,5,rate_shared_receipt_with_poi,7.4271295774547132
False,5,loan_advances,7.3499901979875322
False,5,deferred_income,6.194665291693318
False,5,long_term_incentive,5.6633149245911385
False,5,expenses,5.2838455291937096
True,6,exercised_stock_options,22.846900557039707
True,6,total_stock_value,22.334566139036511
True,6,salary,16.9609162405566
True,6,bonus,15.491414550904373
True,6,restricted_stock,8.6100114666718319
True,6,total_payments,8.5062385749365852
True,6,rate_shared_receipt_with_poi,7.4271295774547026
True,6,loan_advances,7.3499901979875357
True,6,deferred_income,6.1946652916933136
True,6,long_term_incentive,5.6633149245911456
True,6,expenses,5.2838455291937114
False,6,exercised_stock_options,22.846900557039707
False,6,total_stock_value,22.334566139036497
False,6,salary,16.9609162405566
False,6,bonus,15.491414550904363
False,6,restricted_stock,8.6100114666718408
False,6,total_payments,8.5062385749365976
False,6,rate_shared_receipt_with_poi,7.4271295774547132
False,6,loan_advances,7.3499901979875322
False,6,deferred_income,6.194665291693318
False,6,long_term_incentive,5.6633149245911385
False,6,expenses,5.2838455291937096
